type,name,x,y,pitch
map_size,,35,21,
start_point,SP1,1,3,
start_point,SP2,1,6,
start_point,SP3,1,9,
start_point,SP4,1,12,
start_point,SP5,1,15,
start_point,SP6,1,18,
start_point,SP7,35,3,
start_point,SP8,35,6,
start_point,SP9,35,9,
start_point,SP10,35,12,
start_point,SP11,35,15,
start_point,SP12,35,18,
end_point,EP1,7,5,
end_point,EP2,7,8,
end_point,EP3,7,11,
end_point,EP4,7,14,
end_point,EP5,7,17,
end_point,EP6,10,5,
end_point,EP7,10,8,
end_point,EP8,10,11,
end_point,EP9,10,14,
end_point,EP10,10,17,
end_point,EP11,13,5,
end_point,EP12,13,8,
end_point,EP13,13,11,
end_point,EP14,13,14,
end_point,EP15,13,17,
end_point,EP16,16,5,
end_point,EP17,16,8,
end_point,EP18,16,11,
end_point,EP19,16,14,
end_point,EP20,16,17,
end_point,EP21,19,5,
end_point,EP22,19,8,
end_point,EP23,19,11,
end_point,EP24,19,14,
end_point,EP25,19,17,
end_point,EP26,22,5,
end_point,EP27,22,8,
end_point,EP28,22,11,
end_point,EP29,22,14,
end_point,EP30,22,17,
end_point,EP31,25,5,
end_point,EP32,25,8,
end_point,EP33,25,11,
end_point,EP34,25,14,
end_point,EP35,25,17,
end_point,EP36,28,5,
end_point,EP37,28,8,
end_point,EP38,28,11,
end_point,EP39,28,14,
end_point,EP40,28,17,
agv,AGV1,4,1,90
agv,AGV2,7,1,90
agv,AGV3,10,1,90
agv,AGV4,13,1,90
agv,AGV5,16,1,90
agv,AGV6,19,1,90
agv,AGV7,22,1,90
agv,AGV8,25,1,90
agv,AGV9,28,1,90
agv,AGV10,31,1,90
agv,AGV11,4,21,270
agv,AGV12,7,21,270
agv,AGV13,10,21,270
agv,AGV14,13,21,270
agv,AGV15,16,21,270
agv,AGV16,19,21,270
agv,AGV17,22,21,270
agv,AGV18,25,21,270
agv,AGV19,28,21,270
agv,AGV20,31,21,270
