type,name,x,y,pitch
map_size,,35,21,
start_point,SP1,1,3,
start_point,SP2,1,6,
start_point,SP3,1,9,
start_point,SP4,1,12,
start_point,SP5,1,15,
start_point,SP6,1,18,
start_point,SP7,35,3,
start_point,SP8,35,6,
start_point,SP9,35,9,
start_point,SP10,35,12,
start_point,SP11,35,15,
start_point,SP12,35,18,
end_point,EP1,7,5,
end_point,EP2,7,8,
end_point,EP3,7,11,
end_point,EP4,7,14,
end_point,EP5,7,17,
end_point,EP6,10,5,
end_point,EP7,10,8,
end_point,EP8,10,11,
end_point,EP9,10,14,
end_point,EP10,10,17,
end_point,EP11,13,5,
end_point,EP12,13,8,
end_point,EP13,13,11,
end_point,EP14,13,14,
end_point,EP15,13,17,
end_point,EP16,16,5,
end_point,EP17,16,8,
end_point,EP18,16,11,
end_point,EP19,16,14,
end_point,EP20,16,17,
end_point,EP21,19,5,
end_point,EP22,19,8,
end_point,EP23,19,11,
end_point,EP24,19,14,
end_point,EP25,19,17,
end_point,EP26,22,5,
end_point,EP27,22,8,
end_point,EP28,22,11,
end_point,EP29,22,14,
end_point,EP30,22,17,
end_point,EP31,25,5,
end_point,EP32,25,8,
end_point,EP33,25,11,
end_point,EP34,25,14,
end_point,EP35,25,17,
end_point,EP36,28,5,
end_point,EP37,28,8,
end_point,EP38,28,11,
end_point,EP39,28,14,
end_point,EP40,28,17,
agv,AGV1,4,1,90
agv,AGV2,5,1,90
agv,AGV3,6,1,90
agv,AGV4,7,1,90
agv,AGV5,8,1,90
agv,AGV6,12,1,90
agv,AGV7,13,1,90
agv,AGV8,14,1,90
agv,AGV9,15,1,90
agv,AGV10,16,1,90
agv,AGV11,20,1,90
agv,AGV12,21,1,90
agv,AGV13,22,1,90
agv,AGV14,23,1,90
agv,AGV15,24,1,90
agv,AGV16,28,1,90
agv,AGV17,29,1,90
agv,AGV18,30,1,90
agv,AGV19,31,1,90
agv,AGV20,32,1,90
agv,AGV21,4,21,270
agv,AGV22,5,21,270
agv,AGV23,6,21,270
agv,AGV24,7,21,270
agv,AGV25,8,21,270
agv,AGV26,12,21,270
agv,AGV27,13,21,270
agv,AGV28,14,21,270
agv,AGV29,15,21,270
agv,AGV30,16,21,270
agv,AGV31,20,21,270
agv,AGV32,21,21,270
agv,AGV33,22,21,270
agv,AGV34,23,21,270
agv,AGV35,24,21,270
agv,AGV36,28,21,270
agv,AGV37,29,21,270
agv,AGV38,30,21,270
agv,AGV39,31,21,270
agv,AGV40,32,21,270
